what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1304761403673
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1304761403673
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1304761403673
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1304761403674
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1304761403674
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1304761403674
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1304761403674
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1304761403674
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1304761403674
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1304761403674
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1304761403674
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1304761403674
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1304761403674
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1304761403674
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1304761403674
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1304761403674
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1304761403674
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1304761403674
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1304761403674
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1304761403674
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1304761403674
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1304761403674
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1304761403675
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1304761403675
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1304761403675
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1304761403675
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1304761403675
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1304761403675
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1304761403675
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1304761403675
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1304761403675
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304761403675
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304761403675
os,sysinfo,,,"win32",1304761403678
arch,sysinfo,,,"x86_64",1304761403678
ws,sysinfo,,,"win32",1304761403678
locale,sysinfo,,,"it_IT",1304761403678
processors,sysinfo,,,"2",1304761403679
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304761403679
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1304761403679
java.specification.name,sysinfo,,,"Java Platform API Specification",1304761403679
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304761403679
java.specification.version,sysinfo,,,"1.6",1304761403679
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304761403679
java.version,sysinfo,,,"1.6.0_25",1304761403679
java.vm.info,sysinfo,,,"mixed mode",1304761403679
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1304761403679
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304761403679
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304761403679
java.vm.specification.version,sysinfo,,,"1.0",1304761403679
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304761403679
java.vm.version,sysinfo,,,"20.0-b11",1304761403679
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304761406213
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304761406241
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1304761406289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761411431
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761503560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761510677
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1304761525376
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1304761525393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761581556
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1304761581633
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1304761581651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761583703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761589169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761590254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761629579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761631067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761639999
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1304761640087
